overome	N/A: Please update manually
courage	『勇気』，度胸
awful	（光景・事故などが）『恐ろしい』，すさまじい	《話》（行為が）『ひどい』，見苦しい	《話》（程度が）大きい，すごい（ｇｒｅａｔ）	《俗》ひどく，すごく（ｖｅｒｙ，ｅｘｔｒｅｍｅｌｙ）
steam	『蒸気』，湯気，水蒸気	蒸気の力	《話》力，精，力，元気	…‘を’蒸気にさらす，蒸す	『［水］蒸気を出す』，湯気をたてる《＋『ａｗａｙ』》	《副詞［句］を伴って》蒸気で動く	《話》怒る，いきまく
mature	『成熟した』，十分に成長した，熟成した	おとなを思わせる，円熟した	熟慮した，吟味した	（請求書・手形などが）支払い期日が来た	成熟する；〈果実・ワインなどが〉熟す	〈手形などが〉支払い期日が来る	…‘を’償させる；…‘を’円熟させる
firm	（物が）『堅い』，堅固な，引き締まった	『しっかり固定した』，ぐらつかない	（人・信念・友情などが）変わらない	断固とした，決然たる	（価格・価値が）安定している	しっかりと	…‘を’固める，堅くする《＋『ｕｐ』＋『名，』＋『名』＋『ｕｐ』》	…‘を’安定させる	安定する《＋『ｕｐ』》
solid	『固体の』，『固形の』	『うつろでない』，中身のつまった	（物質の）密度が高い，密な；（印刷の）行の詰まった	《名詞の前にのみ用いて》『混じりもののない』，純正の	（構造的に）『堅固な』	（人が）『信頼できる』，堅実な	健全な，しっかりした	一致した，団結した	（時間が）まるまる，切れ目のない；（物が）連続した	三次元の，立体の，立方の	『固体』，固形物	立方体
credible	信用できる，確実な
carve	…‘を’『刻んで作る』，彫る，彫刻する	（食べやすいように）〈肉〉‘を’切り分ける	肉を切り分ける
hen	〈Ｃ〉『めんどり』	《複合語を作って》（一般に）鳥の雌
Arctic	『北極の』	極寒の（ｆｒｉｇｉｄ）	〈Ｕ〉《ｔｈｅ　Ａ‐》北極（地方）	《複数形で》《米》（くるぶしの上までくる）防水靴
harvest	〈Ｃ〉（穀物・果物などの）『収穫』，取り入れ	〈Ｃ〉『収穫期』，取り入れの時期	〈Ｃ〉収穫物；収穫高（量）	《ａ～，ｔｈｅ～》（仕事などの）結果，報い	〈作物〉‘を’取り入れる，〈畑〉‘の’作物を取り入れる	〈結果など〉‘を’獲得する
wrinkle	（布地・皮膚の）『しわ』	…‘に’『しわを寄せる』	『しわが寄る』
